==13712== NVPROF is profiling process 13712, command: ./main
==13712== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==13712== Profiling application: ./main
==13712== Profiling result:
==13712== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",40,"inst_per_warp","Instructions per warp",32.583333,32.583333,32.583333
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",40,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",40,"warp_execution_efficiency","Warp Execution Efficiency",87.492008%,88.227302%,87.846867%
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",40,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",81.587676%,82.139146%,81.853820%
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",40,"inst_replay_overhead","Instruction Replay Overhead",0.092072,0.092072,0.092072
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",40,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",40,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",40,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",40,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",40,"gld_transactions_per_request","Global Load Transactions Per Request",15.925532,16.010638,15.982447
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",40,"gst_transactions_per_request","Global Store Transactions Per Request",3.941489,3.989362,3.972606
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",40,"shared_store_transactions","Shared Store Transactions",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",40,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",40,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",40,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",40,"gld_transactions","Global Load Transactions",2994,3010,3004
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",40,"gst_transactions","Global Store Transactions",741,750,746
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",40,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
