==14716== NVPROF is profiling process 14716, command: ./main
==14716== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14716== Profiling application: ./main
==14716== Profiling result:
==14716== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"l2_read_throughput","L2 Throughput (Reads)",9.719399GB/s,11.574853GB/s,10.161230GB/s
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"l2_write_throughput","L2 Throughput (Writes)",8.764712GB/s,8.924322GB/s,8.843258GB/s
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"sysmem_write_throughput","System Memory Write Throughput",58.891505MB/s,59.955949MB/s,59.532201MB/s
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"gld_efficiency","Global Memory Load Efficiency",74.633333%,76.159274%,75.157446%
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"gst_efficiency","Global Memory Store Efficiency",50.000000%,50.607287%,50.164765%
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"tex_cache_transactions","Unified Cache Transactions",746,752,750
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"inst_executed","Instructions Executed",3128,3128,3128
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"inst_issued","Instructions Issued",3416,3416,3416
